business_id,name,address,city,state,latitude,longitude,ranking
iYmNUctMWGGhh2yy0749IQ,Prioritized Pastries,4904 Devonshire Ave,St. Louis,MO,38.586786,-90.2766165,1
zTh9L6J3fMSJy8ugjZN__g,Holy Crepe,,Saint Louis,MO,38.5844866,-90.266699,2
LlYENa9mr9V0vILUO4xGlQ,Crispy Edge,4168 Juniata St,St. Louis,MO,38.6019097,-90.2580251,3
FF45pKN_lzqG8Bqk-_HQvw,Go! Gyro! Go!,,Saint Louis,MO,38.5844866,-90.266699,4
H_QJ-uXvcniXgUBB_0euCw,Mariscos El Gato,4561 Gravois Ave,St Louis,MO,38.584343,-90.263641,5
pi-y4uXjkOWeuBSI8bv2Wg,Majeed Mediterranean,4658 Gravois Ave,St. Louis,MO,38.582594,-90.265179,6
nMKx3FMxlzw7cFpDdIDqtQ,Afghan Chopan Kabab,4601 Gravois Ave,Saint Louis,MO,38.583862,-90.2643195,7
AvSodGqXo5FUPeXiELv18Q,Little Caesars Pizza,3728 S Kingshighway Blvd,Saint Louis,MO,38.5922107676,-90.2705644845,8
jNomt0h259DYpwkrVslqTA,Zlatno Zito,4573 Gravois Ave,Saint Louis,MO,38.5842263,-90.2639298,9
pvuaumnAjI-0MBQuo_QSww,African Naturals,4511 S Kingshighway Blvd,Saint Louis,MO,38.5875291,-90.2762936,10
oUgmm76-UCd5N0z4xwDOYw,Grbic Restaurant,4071 Keokuk St,Saint Louis,MO,38.5878738,-90.2569488,11
Mtz-kGJXnEwJqnj2YSnTpg,Tiny Chef,4701 Morganford Rd,St. Louis,MO,38.5832312,-90.2668654,12
-9zDI4h2dE3hFOpGFHB10Q,Road Crew Coffee & Cycles,3172 Morganford,St. Louis,MO,38.6019233,-90.2611607,13
1ulD4HL2G8qbpEuuWFDSqQ,Himalayan Yeti,3515 S Kingshighway Blvd,St. Louis,MO,38.5951884,-90.2714904,14
M72GCSiw35hvB4_2mbm5Pg,Fonda La Poblanita,3830 Morganford Rd,St. Louis,MO,38.5896279,-90.2641223,15
ohs__H1zNoF4CAjrK1s3IA,Lily's Mexican Restaurant,4601 S Kingshighway Blvd,Saint Louis,MO,38.586802,-90.276549,16
2Y2hnAc-1-WS-q-ieQ_8hA,Mi Lindo Michoacan,4534 Gravois Ave,Saint Louis,MO,38.584565,-90.262542,17
YpH3mZPgyu2VA0tFy48C_Q,Casa Tequila Inc. Mexican Restaurant,4534 Gravois Ave,St. Louis,MO,38.584565,-90.262542,18
JroMBSRiVq1u8-KZVDZh7g,New China,3730 S Kingshighway Blvd,Saint Louis,MO,38.592301,-90.270873,19
dxxg0kaSete2UNmSRcpDig,Imo’s Pizza,3222 Morganford Rd,Saint Louis,MO,38.6001395,-90.2614358,20
5tZJaEsvEDowvbAtL8Jfig,Sonic Drive-In,3156 S Kingshighway Blvd,Saint Louis,MO,38.6024994,-90.2692484,21
sBTUg4DINvmrfM2cLQZAjw,Hook & Reel Cajun Seafood & Bar,4680 Chippewa St,St. Louis,MO,38.5911503,-90.2728848,22
lQ58_4SzdETRSw0h8tilhA,Uncle Bill's Pancake & Dinner House,3427 S Kingshighway Blvd,Saint Louis,MO,38.5968992,-90.271211,23
d26K8f4sHEl8Pvct59OISQ,QuikTrip,3291 S Kingshighway Blvd,St Louis Downtown,MO,38.6004971,-90.2705598,24
mmnneqm5rY6MNwF--uScYw,Steak ’n Shake,4640 Chippewa,St. Louis,MO,38.591055,-90.27158,25
YjbCbYVwkRT6Qs9KbALJAA,Sports Zone Bevo,4600 Gravois Ave,St. Louis,MO,38.5837144,-90.2636547,26
g6HfTNWnSVDmpXyKx2wxrQ,Cotter's Sports Bar & Karaoke Lounge,4610 S Kingshighway Blvd,Saint Louis,MO,38.5865563,-90.2759803,27
jUrd3WUppgUnlD-nlr9Gew,Taco Bell,3440 So Kings Highway,Saint Louis,MO,38.596478,-90.270728,28
Q8SeKCyxI18ZycvZbgt7VQ,Jack in the Box,4201 S Kingshighway Blvd,Saint Louis,MO,38.5912521,-90.2738629282,29
DPih_TVOcKR-CyA6K13j9w,Destination Café,3182 Morganford Rd,St. Louis,MO,38.601499,-90.2614556618,30
rH0FgPdxWWhH4YFz4mempg,McDonald's,4620 S Kingshighway,St. Louis,MO,38.586257,-90.276034,31
e7q6fHkgRCZQpKRuKlxD0g,Burger King,4008 Chippewa St,St. Louis,MO,38.5891602,-90.2546065,32
7HOquuD846z4wvhdEEWhDg,White Castle,4525 S Kingshighway Blvd,Saint Louis,MO,38.5870651367,-90.2759885013,33
fxdqfaDvZY2PB4qVpTRWRg,QuikTrip,4101 Gravois Ave,St Louis Downtown,MO,38.589452137,-90.2572394949,34
WPeaBiE8WzLOjn5_w9ektQ,Lee's Famous Recipe Chicken,3449 S Kingshighway Blvd,Saint Louis,MO,38.5961085,-90.2713111,35
YC0tzRnL0Y4ogmuUOZPgkA,Chicago Grill,3909 Gravois Ave,St. Louis,MO,38.591529,-90.2517529,36
5wLPgwoVORAAdIZEkWEgIA,Lee's Famous Recipe Chicken,3449 S Kings Hwy,Saint Louis,MO,38.596091,-90.271232,37
XOhNksXxdqHhKjvO5ISUSQ,Willie's Backyard BBQ,4001 Utah St,St. Louis,MO,38.5983927,-90.2533893,38
DgLwvHu6wNt2SrFvE5xxHQ,Old St Louis Chop Suey,"4600 Chippewa St, Ste L",St. Louis,MO,38.5907799,-90.2701145,39
IHNKQZMZY8dmwsXKIvtz0g,Stella Blues,3269 Morganford Rd,Saint Louis,MO,38.5988251,-90.2622889,40
sl0O4RdLobHsM6qwpBsRqA,El Maguey,3710 S Kingshighway,Saint Louis,MO,38.5926588,-90.272435,41
TXuAuEWYISQjqv7Z_fHI7w,Taft Street Restaurant and Bar,4457 Gravois Ave,Saint Louis,MO,38.5852996,-90.262353,42
